Candidate ID,Recommended Jobs
670515e9f838cf497b2d42a6,IAM Implementation - Saviynt IGA | Python Lead (C2H Role) | Senior - Data Science | Network Automation Solutions Tester | Manager - Data Science | Senior - SFDC - Technical- Mumbai | Lighthouse- Python & SQL- Data Analyst | Assistant Manager- Gen AI– Full Stack Engineer | Alteryx Developer | Technical Account Representative (TAM) - OCI
67051991910290ecca566396,Senior - SFDC - Technical- Mumbai | Postilion Developer | Relationship Manager - Wholesale Banking Group | Software Composition Analysis (SCA) Specialist | Lighthouse- Python & SQL- Data Analyst | Associate Consultant Data Visualization | Associate Consultant Data Visualization | Full Stack Node+React Developer | Technology Consulting- Adobe Digital Marketing PM | Alteryx Developer
67051c41910290ecca5663a5,"Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM) | Talent Advisor - Recruiter | Principal Technical Account Representative (TAM) 4 - Oracle DBA | Oracle Fusion HCM Technical Lead | Principal Technical Account Manager (OCI, ExaCS) | Principal Technical Account Manager-Fusion Applications | Food & Beverage Executive | Commi II - Tandoor | Commis II"
67051e15cbaa1f7c662c4a0d,"Senior - GCP Data Engineering | Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM) | Talent Advisor - Recruiter | Principal Technical Account Representative (TAM) 4 - Oracle DBA | Oracle Fusion HCM Technical Lead | Principal Technical Account Manager (OCI, ExaCS) | Principal Technical Account Manager-Fusion Applications | Food & Beverage Executive | Commi II - Tandoor"
67052bb2252a4b11cb3a6c68,Lighthouse- Python & SQL- Data Analyst | Postilion Developer | IAM Implementation - Saviynt IGA | Python Lead (C2H Role) | Senior - Data Science | Associate Consultant Data Visualization | Associate Consultant Data Visualization | Network Automation Solutions Tester | Manager - Data Science | Alteryx Developer
6705309e2dffdcc228c7a10a,IAM Implementation - Saviynt IGA | Python Lead (C2H Role) | Senior - Data Science | Network Automation Solutions Tester | Manager - Data Science | Full Stack Node+React Developer | Lighthouse- Python & SQL- Data Analyst | Assistant Manager- Gen AI– Full Stack Engineer | Alteryx Developer | Technical Account Representative (TAM) - OCI
6705326c2dffdcc228c7a111,IAM Implementation - Saviynt IGA | Postilion Developer | Lighthouse- Python & SQL- Data Analyst | Executive - Java FS - Angular | Python Lead (C2H Role) | Senior - Data Science | Associate Consultant Data Visualization | Associate Consultant Data Visualization | Java Technical Lead | Network Automation Solutions Tester
670536ce6ae64839186cf04c,"Senior - SFDC - Technical- Mumbai | Relationship Manager - Wholesale Banking Group | Software Composition Analysis (SCA) Specialist | Technology Consulting- Adobe Digital Marketing PM | Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM) | Talent Advisor - Recruiter | Principal Technical Account Representative (TAM) 4 - Oracle DBA | Oracle Fusion HCM Technical Lead | Principal Technical Account Manager (OCI, ExaCS)"
67053fdbc0e6a4af98985d0b,"Full Stack Node+React Developer | Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM) | Talent Advisor - Recruiter | Principal Technical Account Representative (TAM) 4 - Oracle DBA | Oracle Fusion HCM Technical Lead | Principal Technical Account Manager (OCI, ExaCS) | Principal Technical Account Manager-Fusion Applications | Food & Beverage Executive | Commi II - Tandoor"
670676ef163bf1c36bbb3ea3,"React Js Software Engineer - Chennai | Full Stack Node+React Developer | React Developer - Bangalore | Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM) | Talent Advisor - Recruiter | Principal Technical Account Representative (TAM) 4 - Oracle DBA | Oracle Fusion HCM Technical Lead | Principal Technical Account Manager (OCI, ExaCS) | Principal Technical Account Manager-Fusion Applications"
6715fe9c5fb342e08f85a879,IAM Implementation - Saviynt IGA | Python Lead (C2H Role) | Senior - Data Science | Network Automation Solutions Tester | Manager - Data Science | Lighthouse- Python & SQL- Data Analyst | Assistant Manager- Gen AI– Full Stack Engineer | Alteryx Developer | Technical Account Representative (TAM) - OCI | Principal Technical Account Representative (TAM)
